"lesson","number","en","ru","uk","pos","note"
"1","1","I","Я","Я","pronouns",""
"1","2","you","Ты / Вы","Ти / Ви","pronouns",""
"1","3","he","Он","Він","pronouns",""
"1","4","she","Она","Вона","pronouns",""
"1","5","we","Мы","Ми","pronouns",""
"1","6","they","Они","Вони","pronouns",""
"1","7","it","Это / Оно","Це / Воно","pronouns",""
"1","8","here","Здесь","Тут","adverbs",""
"1","9","outside","Снаружи / На улице","Зовні / Надворі","adverbs",""
"1","10","inside","Внутри","Всередині","adverbs",""
"1","11","together","Вместе","Разом","adverbs",""
"1","12","near","Близко / Рядом","Близько / Поруч","adjectives",""
"1","13","ready","Готовый","Готовий","adjectives",""
"1","14","busy","Занятый","Зайнятий","adjectives",""
"1","15","calm","Спокойный","Спокійний","adjectives",""
"1","16","happy","Счастливый","Щасливий","adjectives",""
"1","17","important","Важный","Важливий","adjectives",""
"1","18","okay","В порядке (хорошо)","В порядку (добре)","adjectives",""
"1","19","right","Правый / Правильный","Правий / Правильний","adjectives",""
"1","20","safe","В безопасности","В безпеці","adjectives",""
"1","21","sick","Больной","Хворий","adjectives",""
"1","22","cheap","Дешевый","Дешевий","adjectives",""
"1","23","sad","Грустный","Сумний","adjectives",""
"1","24","late","Поздний / Опаздывающий","Пізній / Запізнілий","adjectives",""
"1","25","tired","Уставший","Втомлений","adjectives",""
"1","26","free","Бесплатный / Свободный","Безкоштовний / Вільний","adjectives",""
"1","27","strong","Сильный","Сильний","adjectives",""
"1","28","kind","Добрый","Добрий","adjectives",""
"1","29","serious","Серьёзный","Серйозний","adjectives",""
"1","30","fine","Хорошо (в порядке)","Добре (в порядку)","adjectives",""
"1","31","smart","Умный","Розумний","adjectives",""
"1","32","nervous","Нервный / Нервничающий","Нервовий / Тривожний","adjectives",""
"1","33","hungry","Голодный","Голодний","adjectives",""
"1","34","broken","Сломанный","Зламаний","adjectives",""
"1","35","angry","Злой","Злий","adjectives",""
"1","36","empty","Пустой","Порожній","adjectives",""
"1","37","friend","Друг","Друг","nouns","первая форма: friends -> friend"
"2","1","sure","Уверенный","Впевнений","adjectives",""
"2","2","expensive","Дорогой","Дорогий","adjectives",""
"2","3","scary","Страшный","Страшний","adjectives",""
"2","4","open","Открытый","Відкритий","adjectives",""
"2","5","funny","Смешной","Смішний","adjectives",""
"2","6","afraid","Испуганный / Боящийся","Наляканий / Боязливий","adjectives",""
"2","7","far","Далеко / Далёкий","Далеко / Далекий","adjectives",""
"2","8","wrong","Неправильный / Неправый","Неправильний / Неправий","adjectives",""
"2","9","true","Правда / Истинный","Правда / Істинний","adjectives",""
"2","10","dangerous","Опасный","Небезпечний","adjectives",""
"3","1","me","Меня / Мне","Мене / Мені","pronouns",""
"3","2","him","Его / Ему","Його / Йому","pronouns",""
"3","3","her","Её / Ей","Її / Їй","pronouns",""
"3","4","us","Нас / Нам","Нас / Нам","pronouns",""
"3","5","them","Их / Им","Їх / Їм","pronouns",""
"3","6","work","Работать","Працювати","verbs",""
"3","7","understand","Понимать","Розуміти","verbs",""
"3","8","live","Жить","Жити","verbs",""
"3","9","drink","Пить","Пити","verbs",""
"3","10","speak","Говорить","Говорити","verbs",""
"3","11","watch","Смотреть","Дивитися","verbs",""
"3","12","help","Помогать","Допомагати","verbs",""
"3","13","know","Знать","Знати","verbs",""
"3","14","eat","Есть / Кушать","Їсти","verbs",""
"3","15","love","Любить","Любити","verbs",""
"3","16","buy","Покупать","Купувати","verbs",""
"3","17","cost","Стоить","Коштувати","verbs",""
"3","18","read","Читать","Читати","verbs",""
"3","19","hear","Слышать","Чути","verbs",""
"3","20","write","Писать","Писати","verbs",""
"3","21","listen","Слушать","Слухати","verbs",""
"3","22","wash","Мыть","Мити","verbs",""
"3","23","drive","Водить / Ехать","Водити / Їхати","verbs",""
"3","24","need","Нуждаться / Нужно","Потребувати / Потрібно","verbs",""
"3","25","call","Звонить","Телефонувати / Дзвонити","verbs",""
"3","26","cook","Готовить","Готувати","verbs",""
"3","27","feel","Чувствовать","Відчувати","verbs",""
"3","28","travel","Путешествовать","Подорожувати","verbs",""
"3","29","teach","Преподавать / Учить","Викладати / Навчати","verbs",""
"3","30","forget","Забывать","Забувати","verbs",""
"3","31","remember","Помнить","Пам'ятати","verbs",""
"3","32","wear","Носить (одежду)","Носити (одяг)","verbs",""
"3","33","order","Заказывать","Замовляти","verbs",""
"3","34","use","Использовать","Використовувати","verbs",""
"3","35","trust","Доверять","Довіряти","verbs",""
"3","36","wait","Ждать","Чекати","verbs",""
"3","37","come","Приходить","Приходити","verbs",""
"3","38","look","Выглядеть / Смотреть","Виглядати / Дивитися","verbs",""
"3","39","sound","Звучать","Звучати","verbs",""
"3","40","take","Брать / Занимать","Брати / Займати","verbs",""
"3","41","coffee","Кофе","Кава","nouns",""
"3","42","english","Английский","Англійська","nouns",""
"3","43","tv","Телевизор","Телевізор","nouns",""
"3","44","people","Люди","Люди","nouns",""
"3","45","meat","Мясо","М'ясо","nouns",""
"3","46","music","Музыка","Музика","nouns",""
"3","47","food","Еда","Їжа","nouns",""
"3","48","money","Деньги","Гроші","nouns",""
"3","49","book","Книга","Книжка","nouns","первая форма: books -> book"
"3","50","message","Сообщение","Повідомлення","nouns","первая форма: messages -> message"
"3","51","dish","Блюдо","Страва","nouns","первая форма: dishes -> dish"
"3","52","car","Машина","Машина","nouns","первая форма: cars -> car"
"3","53","dinner","Ужин","Вечеря","nouns",""
"3","54","time","Время","Час","nouns",""
"3","55","name","Имя","Ім'я","nouns","первая форма: names -> name"
"3","56","glasses","Очки","Окуляри","nouns",""
"3","57","pizza","Пицца","Піца","nouns",""
"3","58","app","Приложение","Застосунок","nouns","первая форма: apps -> app"
"3","59","rest","Отдых","Відпочинок","nouns",""
"3","60","tea","Чай","Чай","nouns",""
"3","61","often","Часто","Часто","adverbs",""
