None: 
element_num,depth,attributes,parent_num
0,0,"bounds=[0,0][0,0]",
1,1,"accessibilityText=Phraseman; bounds=[0,0][440,956]; enabled=true; enabled=true",0
2,2,"bounds=[0,0][440,956]; enabled=true; enabled=true",1
3,3,"bounds=[0,0][440,956]; enabled=true; enabled=true",2
4,4,"bounds=[0,0][440,956]; enabled=true; enabled=true",3
5,5,"bounds=[0,0][440,956]; enabled=true; enabled=true",4
6,6,"bounds=[0,0][440,956]; enabled=true; enabled=true",5
7,7,"bounds=[0,0][440,956]; enabled=true; enabled=true",6
8,8,"bounds=[0,0][440,956]; enabled=true; enabled=true",7
128,9,"bounds=[0,0][440,956]; enabled=true; enabled=true",8
10,9,"bounds=[0,0][440,956]; enabled=true; enabled=true",8
128,10,"bounds=[0,0][440,956]; enabled=true; enabled=true",10
12,10,"bounds=[0,0][440,956]; enabled=true; enabled=true",10
13,11,"bounds=[0,0][440,956]; enabled=true; enabled=true",12
14,12,"bounds=[0,0][440,956]; enabled=true; enabled=true",13
15,13,"bounds=[0,0][440,956]; enabled=true; enabled=true",14
16,14,"bounds=[0,0][440,956]; enabled=true; enabled=true",15
17,15,"bounds=[0,0][440,956]; enabled=true; enabled=true",16
128,16,"bounds=[0,0][440,956]; enabled=true; enabled=true",17
19,16,"bounds=[0,0][440,956]; enabled=true; enabled=true",17
20,17,"bounds=[0,0][440,956]; enabled=true; enabled=true",19
21,18,"bounds=[-52,-86][466,1042]; enabled=true; enabled=true",20
22,19,"bounds=[-52,-86][466,1042]; enabled=true; enabled=true",21
23,18,"bounds=[0,0][440,956]; enabled=true; enabled=true",20
128,19,"bounds=[0,0][440,956]; enabled=true; enabled=true",23
128,19,"bounds=[0,0][440,956]; enabled=true; enabled=true",23
26,17,"bounds=[0,62][440,858]; enabled=true; enabled=true",19
27,18,"bounds=[-1760,62][440,858]; enabled=true; enabled=true",26
28,19,"bounds=[0,62][440,858]; enabled=true; enabled=true",27
29,20,"resource-id=screen-settings; bounds=[0,62][440,858]; enabled=true; enabled=true",28
30,21,"bounds=[0,62][440,858]; enabled=true; enabled=true",29
31,22,"bounds=[0,62][440,1696]; enabled=true; enabled=true",30
32,23,"bounds=[0,62][440,1696]; enabled=true; enabled=true",31
33,24,"accessibilityText=На главную; bounds=[20,76][56,112]; enabled=true; enabled=true",32
34,24,"accessibilityText=Настройки; bounds=[68,77][420,110]; enabled=true; enabled=true",32
35,25,"accessibilityText=Настройки; bounds=[68,77][420,110]; enabled=true; enabled=true",34
36,24,"accessibilityText=ИЗУЧАЕМЫЙ ЯЗЫК; bounds=[20,122][420,140]; enabled=true; enabled=true",32
37,25,"accessibilityText=ИЗУЧАЕМЫЙ ЯЗЫК; bounds=[20,122][420,140]; enabled=true; enabled=true",36
38,24,"accessibilityText=Английский; bounds=[20,150][158,194]; enabled=true; enabled=true",32
39,24,"accessibilityText=Испанский; bounds=[166,150][287,194]; enabled=true; enabled=true",32
40,24,"accessibilityText=Французский; bounds=[20,202][162,243]; enabled=true; enabled=true",32
41,24,"accessibilityText=French доступен только в DEV-режиме. В публичной версии открыт английский.; bounds=[20,251][420,287]; enabled=true; enabled=true",32
42,25,"accessibilityText=French доступен только в DEV-режиме. В публичной версии открыт английский.; bounds=[20,251][420,287]; enabled=true; enabled=true",41
43,24,"accessibilityText=ПРОФИЛЬ; bounds=[0,293][440,339]; enabled=true; enabled=true",32
44,25,"accessibilityText=ПРОФИЛЬ; bounds=[0,293][440,339]; enabled=true; enabled=true",43
45,24,"bounds=[0,339][440,417]; enabled=true; enabled=true",32
46,25,"accessibilityText=Имя / никнейм; bounds=[56,355][402,379]; enabled=true; enabled=true",45
47,26,"accessibilityText=Имя / никнейм; bounds=[56,355][402,379]; enabled=true; enabled=true",46
48,25,"accessibilityText=; bounds=[20,367][42,389]; enabled=true; enabled=true",45
49,26,"accessibilityText=; bounds=[20,367][42,389]; enabled=true; enabled=true",48
50,25,"accessibilityText=; bounds=[402,369][420,387]; enabled=true; enabled=true",45
51,26,"accessibilityText=; bounds=[402,369][420,387]; enabled=true; enabled=true",50
52,25,"accessibilityText=Gamma9876; bounds=[56,381][402,401]; enabled=true; enabled=true",45
53,26,"accessibilityText=Gamma9876; bounds=[56,381][402,401]; enabled=true; enabled=true",52
54,24,"bounds=[0,417][440,495]; enabled=true; enabled=true",32
55,25,"accessibilityText=Аккаунт; bounds=[56,433][402,457]; enabled=true; enabled=true",54
56,26,"accessibilityText=Аккаунт; bounds=[56,433][402,457]; enabled=true; enabled=true",55
57,25,"accessibilityText=; bounds=[20,445][42,467]; enabled=true; enabled=true",54
58,26,"accessibilityText=; bounds=[20,445][42,467]; enabled=true; enabled=true",57
59,25,"accessibilityText=; bounds=[402,447][420,465]; enabled=true; enabled=true",54
60,26,"accessibilityText=; bounds=[402,447][420,465]; enabled=true; enabled=true",59
61,25,"accessibilityText=Не привязан; bounds=[56,459][402,478]; enabled=true; enabled=true",54
62,26,"accessibilityText=Не привязан; bounds=[56,459][402,478]; enabled=true; enabled=true",61
63,24,"accessibilityText=qa-settings-language-row; resource-id=settings-language-row; bounds=[0,495][440,573]; enabled=true; enabled=true",32
64,24,"accessibilityText=ВНЕШНИЙ ВИД; bounds=[0,573][440,619]; enabled=true; enabled=true",32
65,25,"accessibilityText=ВНЕШНИЙ ВИД; bounds=[0,573][440,619]; enabled=true; enabled=true",64
66,24,"bounds=[0,619][440,697]; enabled=true; enabled=true",32
67,25,"accessibilityText=Темы; bounds=[56,635][402,659]; enabled=true; enabled=true",66
68,26,"accessibilityText=Темы; bounds=[56,635][402,659]; enabled=true; enabled=true",67
69,25,"accessibilityText=; bounds=[20,646][42,669]; enabled=true; enabled=true",66
70,26,"accessibilityText=; bounds=[20,646][42,669]; enabled=true; enabled=true",69
71,25,"accessibilityText=; bounds=[402,648][420,667]; enabled=true; enabled=true",66
72,26,"accessibilityText=; bounds=[402,648][420,667]; enabled=true; enabled=true",71
73,25,"accessibilityText=Графит; bounds=[56,661][402,680]; enabled=true; enabled=true",66
74,26,"accessibilityText=Графит; bounds=[56,661][402,680]; enabled=true; enabled=true",73
75,24,"bounds=[0,697][440,852]; enabled=true; enabled=true",32
76,24,"accessibilityText=Размер шрифта; bounds=[56,713][420,737]; enabled=true; enabled=true",32
77,25,"accessibilityText=Размер шрифта; bounds=[56,713][420,737]; enabled=true; enabled=true",76
78,24,"accessibilityText=; bounds=[20,724][42,747]; enabled=true; enabled=true",32
79,25,"accessibilityText=; bounds=[20,724][42,747]; enabled=true; enabled=true",78
80,24,"accessibilityText=Средний; bounds=[56,739][420,758]; enabled=true; enabled=true",32
81,25,"accessibilityText=Средний; bounds=[56,739][420,758]; enabled=true; enabled=true",80
82,24,"accessibilityText=A, Малый; bounds=[20,772][147,835]; enabled=true; enabled=true",32
83,24,"accessibilityText=A, Средний; bounds=[155,772][285,835]; enabled=true; enabled=true",32
84,24,"accessibilityText=A, Большой; bounds=[293,772][420,835]; enabled=true; enabled=true",32
85,24,"bounds=[0,852][440,930]; enabled=true; enabled=true",32
86,24,"accessibilityText=Тактильный отклик; bounds=[56,868][369,892]; enabled=true; enabled=true",32
87,25,"accessibilityText=Тактильный отклик; bounds=[56,868][369,892]; enabled=true; enabled=true",86
88,24,"accessibilityText=; bounds=[20,879][42,902]; enabled=true; enabled=true",32
